data/sac_auto_baseline_train/sac_auto_500_ez/sac_auto_500_ez_s0
Using deterministic action op.
[32;1mLogging data to /tmp/experiments/1579887760/progress.txt[0m
Episode 446 	 EpRet 321.115 	 EpLen 716
Episode 447 	 EpRet 321.070 	 EpLen 710
Episode 448 	 EpRet 320.927 	 EpLen 718
Episode 449 	 EpRet 321.434 	 EpLen 711
Episode 450 	 EpRet 319.645 	 EpLen 723
Episode 451 	 EpRet 321.478 	 EpLen 716
Episode 452 	 EpRet 321.006 	 EpLen 718
Episode 453 	 EpRet 174.792 	 EpLen 630
Episode 454 	 EpRet 320.901 	 EpLen 715
Episode 455 	 EpRet 321.770 	 EpLen 715
Episode 456 	 EpRet 322.216 	 EpLen 705
Episode 457 	 EpRet 320.539 	 EpLen 712
Episode 458 	 EpRet 320.487 	 EpLen 718
Episode 459 	 EpRet 320.119 	 EpLen 721
Episode 460 	 EpRet 320.250 	 EpLen 711
Episode 461 	 EpRet 321.838 	 EpLen 713
Episode 462 	 EpRet 321.948 	 EpLen 712
Episode 463 	 EpRet 319.946 	 EpLen 718
Episode 464 	 EpRet 320.241 	 EpLen 712
Episode 465 	 EpRet 320.393 	 EpLen 712
Episode 466 	 EpRet 319.901 	 EpLen 715
Episode 467 	 EpRet 320.770 	 EpLen 714
Episode 468 	 EpRet 320.145 	 EpLen 715
Episode 469 	 EpRet 318.806 	 EpLen 722
Episode 470 	 EpRet 321.127 	 EpLen 720
Episode 471 	 EpRet 320.285 	 EpLen 720
Episode 472 	 EpRet 321.034 	 EpLen 714
Episode 473 	 EpRet 320.967 	 EpLen 712
Episode 474 	 EpRet 320.922 	 EpLen 713
Episode 475 	 EpRet 320.492 	 EpLen 716
Episode 476 	 EpRet 320.854 	 EpLen 717
Episode 477 	 EpRet 319.558 	 EpLen 725
Episode 478 	 EpRet 320.906 	 EpLen 721
Episode 479 	 EpRet 321.269 	 EpLen 706
Episode 480 	 EpRet 321.342 	 EpLen 715
Episode 481 	 EpRet 321.846 	 EpLen 704
Episode 482 	 EpRet 320.852 	 EpLen 713
Episode 483 	 EpRet 319.759 	 EpLen 713
Episode 484 	 EpRet 320.430 	 EpLen 718
Episode 485 	 EpRet 320.232 	 EpLen 719
Episode 486 	 EpRet 320.387 	 EpLen 715
Episode 487 	 EpRet 319.887 	 EpLen 719
Episode 488 	 EpRet 320.959 	 EpLen 717
Episode 489 	 EpRet 321.297 	 EpLen 716
Episode 490 	 EpRet 321.610 	 EpLen 714
Episode 491 	 EpRet 320.161 	 EpLen 718
Episode 492 	 EpRet 320.809 	 EpLen 713
Episode 493 	 EpRet 321.966 	 EpLen 714
Episode 494 	 EpRet 320.724 	 EpLen 711
Episode 495 	 EpRet 320.729 	 EpLen 710
Episode 496 	 EpRet 322.306 	 EpLen 706
Episode 497 	 EpRet 320.160 	 EpLen 717
Episode 498 	 EpRet 321.777 	 EpLen 720
Episode 499 	 EpRet 321.030 	 EpLen 709
-------------------------------------
|    AverageEpRet |             319 |
|        StdEpRet |            21.6 |
|        MaxEpRet |             323 |
|        MinEpRet |            0.93 |
|           EpLen |             713 |
-------------------------------------
