data/sac_auto_baseline_train/sac_auto_500_hc/sac_auto_500_hc_s0
Using deterministic action op.
[32;1mLogging data to /tmp/experiments/1579888946/progress.txt[0m
Episode 429 	 EpRet 271.168 	 EpLen 1316
Episode 430 	 EpRet 273.625 	 EpLen 1270
Episode 431 	 EpRet 269.405 	 EpLen 1322
Episode 432 	 EpRet 269.573 	 EpLen 1295
Episode 433 	 EpRet 268.206 	 EpLen 1332
Episode 434 	 EpRet 274.778 	 EpLen 1245
Episode 435 	 EpRet 271.329 	 EpLen 1307
Episode 436 	 EpRet 211.944 	 EpLen 1600
Episode 437 	 EpRet 278.463 	 EpLen 1209
Episode 438 	 EpRet 267.553 	 EpLen 1330
Episode 439 	 EpRet 279.035 	 EpLen 1207
Episode 440 	 EpRet 167.831 	 EpLen 1600
Episode 441 	 EpRet 274.561 	 EpLen 1265
Episode 442 	 EpRet 273.091 	 EpLen 1246
Episode 443 	 EpRet 268.833 	 EpLen 1321
Episode 444 	 EpRet 264.473 	 EpLen 1350
Episode 445 	 EpRet 45.865 	 EpLen 1600
Episode 446 	 EpRet 275.540 	 EpLen 1241
Episode 447 	 EpRet 277.436 	 EpLen 1237
Episode 448 	 EpRet 34.888 	 EpLen 1600
Episode 449 	 EpRet 270.870 	 EpLen 1272
Episode 450 	 EpRet 271.874 	 EpLen 1278
Episode 451 	 EpRet 273.240 	 EpLen 1268
Episode 452 	 EpRet 281.048 	 EpLen 1219
Episode 453 	 EpRet 272.145 	 EpLen 1287
Episode 454 	 EpRet 277.507 	 EpLen 1224
Episode 455 	 EpRet 263.082 	 EpLen 1342
Episode 456 	 EpRet 274.974 	 EpLen 1243
Episode 457 	 EpRet 265.251 	 EpLen 1338
Episode 458 	 EpRet 276.707 	 EpLen 1233
Episode 459 	 EpRet 279.371 	 EpLen 1204
Episode 460 	 EpRet 264.783 	 EpLen 1352
Episode 461 	 EpRet 272.736 	 EpLen 1270
Episode 462 	 EpRet 271.707 	 EpLen 1301
Episode 463 	 EpRet 95.443 	 EpLen 1600
Episode 464 	 EpRet 271.576 	 EpLen 1286
Episode 465 	 EpRet 268.761 	 EpLen 1305
Episode 466 	 EpRet 274.103 	 EpLen 1272
Episode 467 	 EpRet 268.268 	 EpLen 1324
Episode 468 	 EpRet 271.595 	 EpLen 1295
Episode 469 	 EpRet 270.576 	 EpLen 1255
Episode 470 	 EpRet 266.607 	 EpLen 1361
Episode 471 	 EpRet 273.871 	 EpLen 1239
Episode 472 	 EpRet 275.929 	 EpLen 1236
Episode 473 	 EpRet 163.147 	 EpLen 1600
Episode 474 	 EpRet 31.385 	 EpLen 1600
Episode 475 	 EpRet 93.692 	 EpLen 1600
Episode 476 	 EpRet 273.922 	 EpLen 1254
Episode 477 	 EpRet -39.910 	 EpLen 1600
Episode 478 	 EpRet 273.179 	 EpLen 1266
Episode 479 	 EpRet 266.228 	 EpLen 1352
Episode 480 	 EpRet 268.369 	 EpLen 1349
Episode 481 	 EpRet 266.316 	 EpLen 1341
Episode 482 	 EpRet 263.169 	 EpLen 1381
Episode 483 	 EpRet 271.457 	 EpLen 1276
Episode 484 	 EpRet 266.636 	 EpLen 1312
Episode 485 	 EpRet 253.784 	 EpLen 1600
Episode 486 	 EpRet 265.819 	 EpLen 1351
Episode 487 	 EpRet 269.415 	 EpLen 1308
Episode 488 	 EpRet 270.840 	 EpLen 1302
Episode 489 	 EpRet 68.278 	 EpLen 1600
Episode 490 	 EpRet 275.279 	 EpLen 1229
Episode 491 	 EpRet 142.931 	 EpLen 1600
Episode 492 	 EpRet 267.378 	 EpLen 1336
Episode 493 	 EpRet 274.421 	 EpLen 1258
Episode 494 	 EpRet 270.130 	 EpLen 1309
Episode 495 	 EpRet 17.936 	 EpLen 1600
Episode 496 	 EpRet 271.644 	 EpLen 1286
Episode 497 	 EpRet 267.547 	 EpLen 1327
Episode 498 	 EpRet 269.900 	 EpLen 1344
Episode 499 	 EpRet 270.236 	 EpLen 1282
-------------------------------------
|    AverageEpRet |             253 |
|        StdEpRet |            58.2 |
|        MaxEpRet |             284 |
|        MinEpRet |           -52.7 |
